transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/28/2025 10:00:00 PM,subway,68,Bay Pkwy (D),Brooklyn,omny,OMNY - Full Fare,26,9,40.601875,-73.99373,POINT (-73.99373 40.601875)
03/28/2025 11:00:00 PM,subway,147,175 St (A),Manhattan,omny,OMNY - Other,1,0,40.84739,-73.939705,POINT (-73.939705 40.84739)
03/28/2025 07:00:00 AM,subway,68,Bay Pkwy (D),Brooklyn,omny,OMNY - Full Fare,279,48,40.601875,-73.99373,POINT (-73.99373 40.601875)
03/28/2025 08:00:00 AM,subway,255,169 St (F),Queens,omny,OMNY - Full Fare,305,58,40.71047,-73.7936,POINT (-73.7936 40.71047)
03/28/2025 11:00:00 AM,subway,65,79 St (D),Brooklyn,metrocard,Metrocard - Other,4,0,40.613503,-74.00061,POINT (-74.00061 40.613503)
03/28/2025 01:00:00 PM,subway,292,Fulton St (G),Brooklyn,omny,OMNY - Other,1,0,40.68712,-73.97537,POINT (-73.97537 40.68712)
03/28/2025 02:00:00 PM,subway,32,"36 St (D,N,R)",Brooklyn,omny,OMNY - Other,10,1,40.655144,-74.00355,POINT (-74.00355 40.655144)
03/28/2025 02:00:00 PM,subway,385,176 St (4),Bronx,omny,OMNY - Other,4,0,40.84848,-73.9118,POINT (-73.9118 40.84848)
03/28/2025 04:00:00 PM,subway,67,20 Av (D),Brooklyn,omny,OMNY - Other,2,0,40.604557,-73.99817,POINT (-73.99817 40.604557)
03/28/2025 06:00:00 PM,subway,477,72 St (Q),Manhattan,omny,OMNY - Other,13,0,40.7688,-73.95843,POINT (-73.95843 40.7688)
03/28/2025 11:00:00 PM,subway,426,"E 180 St (2,5)",Bronx,omny,OMNY - Other,3,0,40.841892,-73.87349,POINT (-73.87349 40.841892)
03/28/2025 05:00:00 AM,subway,377,3 Av-138 St (6),Bronx,omny,OMNY - Other,2,0,40.810474,-73.92614,POINT (-73.92614 40.810474)
03/28/2025 06:00:00 AM,subway,295,231 St (1),Bronx,omny,OMNY - Students,25,9,40.878857,-73.90483,POINT (-73.90483 40.878857)
03/28/2025 08:00:00 AM,subway,240,"7 Av (F,G)",Brooklyn,omny,OMNY - Students,180,9,40.66627,-73.98031,POINT (-73.98031 40.66627)
03/28/2025 08:00:00 AM,subway,413,"Wall St (4,5)",Manhattan,omny,OMNY - Students,35,0,40.707558,-74.01186,POINT (-74.01186 40.707558)
03/28/2025 08:00:00 AM,subway,605,"168 St (A,C,1)",Manhattan,omny,OMNY - Fair Fare,10,1,40.840717,-73.93956,POINT (-73.93956 40.840717)
03/28/2025 09:00:00 AM,subway,165,"23 St (C,E)",Manhattan,omny,OMNY - Fair Fare,1,0,40.745907,-73.99804,POINT (-73.99804 40.745907)
03/28/2025 11:00:00 AM,subway,146,181 St (A),Manhattan,omny,OMNY - Other,2,0,40.851696,-73.937965,POINT (-73.937965 40.851696)
03/28/2025 11:00:00 AM,subway,3,"30 Av (N,W)",Queens,omny,OMNY - Full Fare,323,12,40.76678,-73.92148,POINT (-73.92148 40.76678)
03/28/2025 01:00:00 PM,subway,388,167 St (4),Bronx,omny,OMNY - Other,4,0,40.835537,-73.9214,POINT (-73.9214 40.835537)
03/28/2025 05:00:00 PM,subway,386,Mt Eden Av (4),Bronx,omny,OMNY - Students,15,0,40.844433,-73.91469,POINT (-73.91469 40.844433)
03/28/2025 06:00:00 PM,subway,284,Nassau Av (G),Brooklyn,omny,OMNY - Full Fare,569,5,40.724636,-73.95128,POINT (-73.95128 40.724636)
03/28/2025 07:00:00 PM,subway,193,104 St (A),Queens,omny,OMNY - Other,1,0,40.68171,-73.837685,POINT (-73.837685 40.68171)
03/28/2025 07:00:00 PM,subway,5,"36 Av (N,W)",Queens,omny,OMNY - Fair Fare,1,0,40.756805,-73.92957,POINT (-73.92957 40.756805)
03/28/2025 09:00:00 PM,subway,217,"170 St (B,D)",Bronx,omny,OMNY - Full Fare,26,0,40.839306,-73.9134,POINT (-73.9134 40.839306)
03/28/2025 09:00:00 PM,subway,256,Parsons Blvd (F),Queens,omny,OMNY - Full Fare,34,10,40.707565,-73.80333,POINT (-73.80333 40.707565)
03/28/2025 09:00:00 PM,subway,407,Astor Pl (6),Manhattan,omny,OMNY - Other,3,0,40.730053,-73.99107,POINT (-73.99107 40.730053)
03/28/2025 10:00:00 PM,subway,156,"103 St (C,B)",Manhattan,omny,OMNY - Other,1,0,40.796093,-73.96146,POINT (-73.96146 40.796093)
03/28/2025 10:00:00 PM,subway,365,Castle Hill Av (6),Bronx,omny,OMNY - Other,1,0,40.834255,-73.85122,POINT (-73.85122 40.834255)
